5350000,4546145,280260,528835,311740,370940
5350001,500,20,65,0,15
5350002,560,0,75,55,70
5350004,5685,345,605,505,610
5350005,4585,255,575,295,625
5350007.01,2730,150,300,225,190
5350007.02,4155,275,490,350,540
5350008,8700,235,775,305,505
5350010.01,4145,70,215,210,155
5350010.02,6340,135,445,325,335
5350011,8235,355,640,225,470
5350012.01,5705,145,595,310,295
5350012.02,10180,235,1110,335,510
5350013,9915,355,920,535,475
5350015,3155,100,280,105,125
5350016,5380,145,350,190,245
5350017,6120,220,485,335,420
5350018,1785,45,130,115,230
5350019,2545,140,220,195,320
5350020,1855,50,120,60,75
5350021,4390,175,375,230,125
5350022,2940,85,325,145,205
5350023,2760,95,225,160,140
5350024,5325,210,570,285,360
5350025,2765,65,280,210,250
5350026,5300,260,495,390,450
5350027,3685,240,325,295,325
5350028,5050,165,515,255,440
5350029,5500,245,735,350,485
5350030,2395,150,230,190,245
5350031,4890,430,695,610,765
5350032,3835,170,405,360,560
5350033,3855,75,320,545,700
5350034.01,4075,90,905,270,345
5350034.02,4625,135,545,350,400
5350035,6630,260,1400,450,470
5350036,4660,195,680,250,375
5350037,4305,145,870,400,450
5350038,3685,190,635,390,430
5350039,3965,275,575,320,445
5350040,4320,190,610,350,515
5350041,3065,65,350,240,335
5350042,4050,135,430,265,400
5350043,3375,130,345,260,315
5350044,4455,120,315,215,520
5350045,3330,120,315,250,205
5350046,2815,140,365,210,330
5350047.01,2890,110,255,155,265
5350047.02,3460,220,265,380,495
5350048,2945,95,235,160,280
5350049,2595,70,285,105,175
5350050.01,5860,175,495,285,300
5350050.02,5005,170,480,245,430
5350051,4510,170,425,290,220
5350052,3200,115,195,165,255
5350053,4930,130,420,370,495
5350054,5080,240,455,430,570
5350055,2415,60,175,210,320
5350056,4355,140,305,310,445
5350057,2215,35,215,120,185
5350058,3510,75,400,240,260
5350059,3195,50,525,195,370
5350060,2245,70,390,105,210
5350061,640,25,70,40,75
5350062.01,4500,225,865,330,315
5350062.02,6010,225,1180,385,375
5350063.01,8080,235,1120,380,570
5350063.02,6655,115,695,520,780
5350064,3575,95,390,210,360
5350065,11710,725,1570,1285,1755
5350066,6875,115,600,460,645
5350067,1495,30,90,65,80
5350068,2105,35,180,115,120
5350069,4355,140,430,270,335
5350070,2810,90,255,130,160
5350071,2800,110,290,130,145
5350072.01,3770,240,420,190,480
5350072.02,2705,140,395,115,220
5350073,2215,95,225,250,215
5350074,3025,120,425,175,305
5350075,3520,130,340,235,305
5350076,3235,140,260,150,280
5350077,3630,160,340,220,245
5350078,4915,245,470,270,380
5350079,5485,250,560,350,385
5350080.01,2890,145,330,95,165
5350080.02,3655,235,475,305,385
5350081,2245,105,175,125,145
5350082,2105,75,220,125,210
5350083,3490,170,285,260,285
5350084,2980,105,220,170,235
5350085,3440,70,320,270,200
5350086,2130,150,260,130,135
5350087,4385,160,295,200,170
5350088,2650,75,340,125,145
5350089,2980,30,290,125,180
5350090,3295,80,180,220,120
5350091.01,4985,110,745,220,310
5350091.02,2905,45,310,280,330
5350092,6505,220,745,490,540
5350093,4520,105,555,320,335
5350094,4390,165,415,360,485
5350095,2815,120,310,160,245
5350096,4320,170,490,305,485
5350097.01,3635,205,590,320,345
5350097.02,4700,275,565,290,550
5350098,5790,250,640,415,615
5350099,5490,280,675,385,325
5350101,2615,70,320,95,240
5350102.01,1285,40,110,90,80
5350102.02,3925,180,400,190,260
5350102.03,2780,105,250,135,180
5350103,4935,160,425,240,255
5350104,4260,165,410,270,240
5350105,3705,165,400,210,260
5350106,3315,190,495,310,300
5350107,4820,310,535,405,475
5350108,5145,380,550,415,525
5350109,4370,245,405,360,345
5350110,2955,165,325,200,280
5350111,2090,105,255,250,130
5350112,4280,345,455,225,420
5350113,2270,90,315,170,180
5350114,4340,175,460,255,480
5350115,3470,240,410,250,325
5350116,3060,125,320,260,260
5350117,1880,60,155,85,145
5350118,3420,165,240,210,210
5350119,3980,140,295,180,310
5350120,1170,40,105,55,30
5350121,1945,50,75,65,70
5350122,5440,115,485,215,260
5350123,2020,25,180,115,145
5350124,4970,155,440,160,165
5350125,3560,145,390,150,140
5350126,3245,115,285,150,190
5350127,4275,155,360,190,215
5350128.02,7520,225,740,330,385
5350128.03,4335,170,395,295,330
5350128.04,3795,65,290,100,250
5350129,4135,150,370,185,290
5350130,2925,140,320,65,200
5350131,4745,225,385,230,390
5350132,4515,305,535,215,275
5350133,5875,290,590,370,405
5350134,2220,70,265,85,80
5350135,4875,225,340,315,265
5350136.01,5560,210,520,265,335
5350136.02,4745,195,635,245,290
5350137,5655,175,480,335,415
5350138,2570,115,260,150,190
5350139,5420,310,495,265,290
5350140,2025,165,255,60,80
5350141.01,3275,145,225,105,150
5350141.02,3435,155,325,175,190
5350142,4405,150,290,230,225
5350150,3390,65,270,200,190
5350151,2875,195,395,205,210
5350152,3540,150,410,130,340
5350153,3845,240,590,320,340
5350154,5065,225,495,250,300
5350155,2700,215,310,250,300
5350156.01,4590,285,610,380,530
5350156.02,2240,160,165,180,240
5350157,2135,145,200,180,210
5350158,1815,120,210,160,190
5350159.01,3140,190,330,400,265
5350159.02,3915,310,405,245,305
5350160,2750,180,360,190,210
5350161,5575,415,545,575,395
5350162,4035,265,425,335,315
5350163,3720,210,405,290,415
5350164,5295,200,530,335,355
5350165,3630,105,330,250,285
5350166,3390,155,300,185,250
5350167.01,1545,0,60,85,120
5350167.02,4965,145,385,365,415
5350168,4700,240,555,335,480
5350169.01,2945,220,300,255,240
5350169.02,6405,460,825,340,525
5350170,2935,180,260,240,285
5350171,3090,225,385,300,325
5350172,2125,175,105,105,130
5350173,2605,185,290,240,295
5350174,5655,420,630,435,595
5350175.01,4655,250,565,345,440
5350175.02,6510,420,615,390,735
5350176,3555,230,350,315,370
5350180,5250,280,820,460,545
5350181.01,3730,170,330,285,245
5350181.02,3015,180,320,170,200
5350182,4510,145,575,205,350
5350183,5380,310,475,275,325
5350184.01,4150,150,300,355,325
5350184.02,3270,175,250,165,320
5350185.01,5845,215,645,495,490
5350185.02,4055,170,380,305,310
5350186,1870,130,145,50,75
5350187,2790,120,305,180,185
5350188,1675,35,135,90,95
5350189,4380,290,570,270,295
5350190.01,7105,665,1015,695,740
5350190.02,3695,225,425,275,430
5350191,3590,215,300,245,330
5350192,775,40,95,70,75
5350193,2525,220,295,145,165
5350194.01,3620,460,645,400,465
5350194.02,4080,430,565,280,410
5350194.03,2130,150,200,145,255
5350194.04,4210,305,505,320,425
5350195,4930,245,460,290,395
5350196,6205,320,560,420,300
5350200,5675,285,580,325,450
5350201,4310,110,330,255,260
5350202,1325,50,120,70,100
5350203,2625,140,215,95,155
5350204,3770,135,340,240,285
5350206.01,3445,210,225,185,250
5350206.02,4835,245,420,345,550
5350207,2050,150,215,125,180
5350208,3370,220,345,220,385
5350209,2310,90,230,155,215
5350210,7175,200,530,230,375
5350211,5440,215,745,235,415
5350212,4770,160,385,365,305
5350213,5935,245,480,275,375
5350214,3830,140,195,165,330
5350215,5590,245,445,335,260
5350216,4470,175,340,215,255
5350217,4885,295,575,380,440
5350218,2150,85,100,135,95
5350219,3480,95,265,145,310
5350220,3480,185,275,170,215
5350221.01,5590,250,495,365,330
5350221.02,3315,190,435,265,265
5350222.01,4550,215,460,260,335
5350222.02,3805,200,340,305,340
5350223,3150,135,350,185,210
5350224,1440,50,160,105,140
5350225.01,4545,160,455,235,325
5350225.02,6505,325,890,435,525
5350226,2645,70,260,165,120
5350227,1365,60,90,55,80
5350228,2455,45,130,110,180
5350229,895,30,60,65,25
5350230.01,2020,90,165,55,135
5350230.02,5145,285,570,425,410
5350231,5480,215,585,320,350
5350232,3385,105,335,145,240
5350233,4620,275,565,195,235
5350234,3780,210,370,220,210
5350235.01,2375,160,250,170,120
5350235.02,4645,310,450,300,365
5350236.01,5365,370,400,410,515
5350236.02,5195,260,465,275,425
5350237.01,4955,365,605,445,460
5350237.02,2385,120,165,115,175
5350237.03,4790,265,420,310,415
5350238.01,2870,110,245,140,250
5350238.02,4295,225,475,245,405
5350239,5225,385,565,445,390
5350240.01,2920,145,250,110,330
5350240.02,4560,165,395,385,365
5350241,2460,140,275,140,165
5350242,1230,80,190,90,120
